ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CA0679011084","ABR","BARRICK GOLD CORP.",Common stock,"EUR",2504196,2018-02-02,15:00,11.17,11.17,11.16,11.16,2150,8
"CA32076V1031","FMV","FIRST MAJESTIC SILVER",Common stock,"EUR",2504197,2018-02-02,15:00,4.57,4.57,4.56,4.57,400,3
"CH0126881561","SR9","SWISS RE AG NAM.  SF -;10",Common stock,"EUR",2504248,2018-02-02,15:00,79.76,79.76,79.76,79.76,6,1
"LU0252633754","LYY7","MUL-LYXOR DAX DR UC.ETF",ETF,"EUR",2504267,2018-02-02,15:00,122.5,122.5,122.5,122.5,16,1
"DE000A0D6554","NDX1","NORDEX SE O.N.",Common stock,"EUR",2504290,2018-02-02,15:00,9.642,9.642,9.64,9.642,690,2
"DE000A0D8QZ7","EXSE","ISH.S.EUR.SMALL 200 U.ETF",ETF,"EUR",2504291,2018-02-02,15:00,28.935,28.935,28.935,28.935,30000,3
"DE000A0ETBQ4","MBB","MBB SE O.N.",Common stock,"EUR",2504301,2018-02-02,15:00,93.2,93.2,93.2,93.2,67,1
"DE000A0F5UJ7","EXV1","IS.S.EU.600 BANK.U.ETF A.",ETF,"EUR",2504306,2018-02-02,15:00,18.894,18.894,18.894,18.894,622,2
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-02,15:00,34.28,34.28,34.22,34.22,1743,8
"DE000A0JC8S7","D6H","DATAGROUP SE  INH. O.N.",Common stock,"EUR",2504338,2018-02-02,15:00,42.75,42.75,42.75,42.75,2,1
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.",Common stock,"EUR",2504340,2018-02-02,15:00,58.85,58.85,58.85,58.85,73,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG",Common stock,"EUR",2504379,2018-02-02,15:00,12.67,12.67,12.67,12.67,433,1
"DE000A0LD6E6","GXI","GERRESHEIMER AG",Common stock,"EUR",2504380,2018-02-02,15:00,69.4,69.4,69.4,69.4,150,2
"DE000A0S8488","HHFA","HAMBURG.HAFEN LOG.A-SP NA",Common stock,"EUR",2504409,2018-02-02,15:00,21.82,21.9,21.82,21.86,577,8
"DE000A0XYGA7","TTR1","TECHNOTRANS AG NA O.N.",Common stock,"EUR",2504432,2018-02-02,15:00,42.2,42.2,42.15,42.15,500,3
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.",Common stock,"EUR",2504438,2018-02-02,15:00,30.11,30.11,30.11,30.11,373,5
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-02,15:00,182.55,182.55,182.3,182.3,2416,27
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA",Common stock,"EUR",2504492,2018-02-02,15:00,4.056,4.056,4.046,4.048,14583,18
"DE000A1K0235","SMHN","SUESS MICROTEC SE NA O.N.",Common stock,"EUR",2504495,2018-02-02,15:00,15.74,15.74,15.74,15.74,288,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.",Common stock,"EUR",2504501,2018-02-02,15:00,38.13,38.13,38.1,38.1,2071,8
"DE000A1TNV91","ADE","BITCOIN GROUP SE  O.N.",Common stock,"EUR",2504520,2018-02-02,15:00,32.5,32.78,32.5,32.54,72,3
"DE000A11QW50","ECX","EPIGENOMICS AG NA O.N.",Common stock,"EUR",2504547,2018-02-02,15:00,4.325,4.325,4.325,4.325,46,1
"DE000A12DM80","G24","SCOUT24 AG NA O.N.",Common stock,"EUR",2504556,2018-02-02,15:00,37.1,37.1,37.08,37.08,170,2
"DE000A12UPJ7","PAL","PANTAFLIX AG  INH. O.N.",Common stock,"EUR",2504564,2018-02-02,15:00,190.5,190.5,190.5,190.5,8,1
