ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CA0679011084","ABR","BARRICK GOLD CORP.",Common stock,"EUR",2504196,2018-02-16,09:00,10.68,10.7,10.68,10.68,1000,2
"CH0011075394","ZFIN","ZURICH INSUR.GR.NA.SF0;10",Common stock,"EUR",2504215,2018-02-16,09:00,267.8,267.9,267.8,267.8,25,2
"CH0012138530","CSX","CRED.SUISSE GRP NA SF-;04",Common stock,"EUR",2504220,2018-02-16,09:00,15.16,15.16,15.16,15.16,768,1
"CH0244767585","0UB","UBS GROUP AG      SF -;10",Common stock,"EUR",2504253,2018-02-16,09:00,15.465,15.465,15.465,15.465,1000,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF",ETF,"EUR",2504265,2018-02-16,09:00,107.78,107.78,107.78,107.78,1486,1
"LU0274211480","DBXD","XTR.DAX 1C",ETF,"EUR",2504269,2018-02-16,09:00,121.2,121.2,121.2,121.2,294,1
"LU0378438732","C001","COMSTAGE-DAX UCITS ETF I",ETF,"EUR",2504271,2018-02-16,09:00,118.36,118.36,118.36,118.36,250,2
"DE000A0D6554","NDX1","NORDEX SE O.N.",Common stock,"EUR",2504290,2018-02-16,09:00,9.57,9.574,9.57,9.57,1449,4
"DE000A0D8Q07","EXSI","ISHARES EURO STOXX U.ETF",ETF,"EUR",2504292,2018-02-16,09:00,37.725,37.725,37.725,37.725,2670,1
"DE000A0D88T9","MA1","MAX21 AG",Common stock,"EUR",2504296,2018-02-16,09:00,1.14,1.14,1.14,1.14,10000,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.",Common stock,"EUR",2504297,2018-02-16,09:00,140.8,141,140.8,140.9,346,6
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-16,09:00,33.54,33.54,33.54,33.54,24,1
"DE000A0H08M3","EXH1","IS.S.E.600 OIL+G.U.ETF A.",ETF,"EUR",2504330,2018-02-16,09:00,30.23,30.24,30.23,30.24,285,2
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.",Common stock,"EUR",2504340,2018-02-16,09:00,57.45,57.45,57.45,57.45,848,4
"DE000A0LD6E6","GXI","GERRESHEIMER AG",Common stock,"EUR",2504380,2018-02-16,09:00,69.15,69.2,69.15,69.15,596,6
"DE000A0MSN11","M7U","M-U-T AG MESSGER.INH.O.N.",Common stock,"EUR",2504387,2018-02-16,09:00,20.3,20.3,20.3,20.3,158,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.",Common stock,"EUR",2504428,2018-02-16,09:00,12.215,12.22,12.21,12.22,3385,9
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.",Common stock,"EUR",2504438,2018-02-16,09:00,28.41,28.43,28.4,28.42,2034,12
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.",Common stock,"EUR",2504453,2018-02-16,09:00,52.38,52.38,52.34,52.34,214,6
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-16,09:00,179.85,179.85,179.6,179.6,1363,17
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.",Common stock,"EUR",2504474,2018-02-16,09:00,59.5,59.5,59.5,59.5,136,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.",Common stock,"EUR",2504501,2018-02-16,09:00,36.95,36.97,36.95,36.97,283,4
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.",Common stock,"EUR",2504512,2018-02-16,09:00,73.14,73.2,73.14,73.2,218,3
"DE000A1TNV91","ADE","BITCOIN GROUP SE  O.N.",Common stock,"EUR",2504520,2018-02-16,09:00,51.25,51.45,51.25,51.45,2019,6
"DE000A1X3W00","MDG1","MEDIGENE AG NA O.N.",Common stock,"EUR",2504531,2018-02-16,09:00,16.93,16.93,16.93,16.93,150,1
"DE000A12DM80","G24","SCOUT24 AG NA O.N.",Common stock,"EUR",2504556,2018-02-16,09:00,37.16,37.16,37.16,37.16,50,1
"DE000A12UPJ7","PAL","PANTAFLIX AG  INH. O.N.",Common stock,"EUR",2504564,2018-02-16,09:00,170,170,170,170,50,1
"DE000A14KL72","VSC","4SC AG",Common stock,"EUR",2504585,2018-02-16,09:00,8.32,8.32,8.32,8.32,400,1
