ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.",Common stock,"EUR",2504159,2018-02-26,13:00,20.78,20.78,20.78,20.78,57,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF",ETF,"EUR",2504265,2018-02-26,13:00,108.52,108.52,108.52,108.52,14,1
"DE000A0BVVK7","FAM1","DT.CANNABIS AG   O.N.",Common stock,"EUR",2504282,2018-02-26,13:00,2.15,2.15,2.15,2.15,220,1
"DE000A0D6554","NDX1","NORDEX SE O.N.",Common stock,"EUR",2504290,2018-02-26,13:00,9.882,9.882,9.882,9.882,508,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.",Common stock,"EUR",2504297,2018-02-26,13:00,137.8,137.8,137.7,137.8,489,3
"DE000A0F5UJ7","EXV1","IS.S.EU.600 BANK.U.ETF A.",ETF,"EUR",2504306,2018-02-26,13:00,18.474,18.474,18.474,18.474,152,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-26,13:00,34.52,34.52,34.52,34.52,81,1
"DE000A0JM2M1","B7E","BLUE CAP             O.N.",Common stock,"EUR",2504344,2018-02-26,13:00,17.25,17.25,17.25,17.25,788,1
"DE000A0Q4R28","EXV5","ISH.S.EU.600 A+P U.ETF A.",ETF,"EUR",2504393,2018-02-26,13:00,59.85,59.85,59.85,59.85,337,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.",Common stock,"EUR",2504428,2018-02-26,13:00,15.305,15.325,15.305,15.325,4045,10
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1",Common stock,"EUR",2504436,2018-02-26,13:00,27.7,27.76,27.7,27.76,1490,6
"DE000A1EMG56","WIG1","SPORTTOTAL AG  INH. O.N.",Common stock,"EUR",2504468,2018-02-26,13:00,4.62,4.62,4.62,4.62,1082,1
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-26,13:00,182.65,182.65,182.65,182.65,19,2
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA",Common stock,"EUR",2504492,2018-02-26,13:00,3.956,3.956,3.955,3.956,2620,4
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.",Common stock,"EUR",2504501,2018-02-26,13:00,38.01,38.02,38.01,38.02,688,5
"DE000A1TNV91","ADE","BITCOIN GROUP SE  O.N.",Common stock,"EUR",2504520,2018-02-26,13:00,53.15,53.3,53.15,53.25,519,4
"DE000A12UKK6","RKET","ROCKET INTERNET SE",Common stock,"EUR",2504560,2018-02-26,13:00,24.9,24.9,24.9,24.9,5280,6
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.",Common stock,"EUR",2504618,2018-02-26,13:00,32.17,32.17,32.17,32.17,273,4
"DE000BASF111","BAS","BASF SE NA O.N.",Common stock,"EUR",2504663,2018-02-26,13:00,89.01,89.01,88.98,88.98,1332,9
"DE000BAY0017","BAYN","BAYER AG NA O.N.",Common stock,"EUR",2504664,2018-02-26,13:00,98.42,98.43,98.42,98.43,481,3
"DE000CBK1001","CBK","COMMERZBANK AG",Common stock,"EUR",2504665,2018-02-26,13:00,12.816,12.816,12.816,12.816,714,1
"DE000ENAG999","EOAN","E.ON SE NA O.N.",Common stock,"EUR",2504666,2018-02-26,13:00,8.636,8.638,8.636,8.638,3002,6
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.",Common stock,"EUR",2504806,2018-02-26,13:00,30.53,30.54,30.53,30.54,709,3
"DE000KSAG888","SDF","K+S AG NA O.N.",Common stock,"EUR",2504812,2018-02-26,13:00,22.5,22.5,22.5,22.5,344,1
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.",Common stock,"EUR",2504813,2018-02-26,13:00,66.52,66.52,66.52,66.52,126,1
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.",Common stock,"EUR",2504814,2018-02-26,13:00,86.78,86.8,86.78,86.8,71,4
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO",Common stock,"EUR",2504816,2018-02-26,13:00,70.88,70.88,70.88,70.88,59,1
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.",Common stock,"EUR",2504852,2018-02-26,13:00,67.2,67.26,67.2,67.26,777,4
"DE000TUAG000","TUI1","TUI AG NA O.N.",Common stock,"EUR",2504855,2018-02-26,13:00,17.54,17.54,17.54,17.54,873,2
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.",Common stock,"EUR",2504859,2018-02-26,13:00,121,121.05,121,121.05,252,5
"DE000ZAL1111","ZAL","ZALANDO SE",Common stock,"EUR",2504863,2018-02-26,13:00,47.61,47.61,47.61,47.61,472,2
"DE0002457512","VIH","VIB VERMOEGEN O.N.",Common stock,"EUR",2504867,2018-02-26,13:00,21.3,21.3,21.3,21.3,250,1
"DE0002635307","EXSA","ISH.STOX.EUROPE 600 U.ETF",ETF,"EUR",2504871,2018-02-26,13:00,37.71,37.71,37.71,37.71,74,1
"DE0005103006","ADV","ADVA OPT.NETW.SE  O.N.",Common stock,"EUR",2504881,2018-02-26,13:00,6.225,6.225,6.225,6.225,464,2
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.",Common stock,"EUR",2504888,2018-02-26,13:00,13.394,13.394,13.39,13.39,7251,6
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST",Common stock,"EUR",2504900,2018-02-26,13:00,88.06,88.07,88.05,88.05,1189,4
"DE0005408884","LEO","LEONI AG NA O.N.",Common stock,"EUR",2504929,2018-02-26,13:00,57.06,57.06,57.06,57.06,110,1
"DE0005428007","COM","COMDIRECT BANK AG",Common stock,"EUR",2504931,2018-02-26,13:00,11.74,11.74,11.74,11.74,11,1
"DE0005439004","CON","CONTINENTAL AG O.N.",Common stock,"EUR",2504933,2018-02-26,13:00,228.4,228.5,228.4,228.4,2254,14
"DE0005470306","EVD","CTS EVENTIM KGAA",Common stock,"EUR",2504934,2018-02-26,13:00,42.16,42.2,42.16,42.2,545,5
"DE0005493092","BVB","BORUSSIA DORTMUND",Common stock,"EUR",2504940,2018-02-26,13:00,5.905,5.905,5.905,5.905,500,2
"DE0005501357","SPR","A.SPRINGER SE VNA",Common stock,"EUR",2504947,2018-02-26,13:00,73.1,73.1,73.1,73.1,342,1
"DE0005552004","DPW","DEUTSCHE POST AG NA O.N.",Common stock,"EUR",2504953,2018-02-26,13:00,37.58,37.59,37.57,37.58,3133,5
"DE0005557508","DTE","DT.TELEKOM AG NA",Common stock,"EUR",2504954,2018-02-26,13:00,13.375,13.375,13.37,13.37,21799,14
"DE0005772206","FIE","FIELMANN AG O.N.",Common stock,"EUR",2504969,2018-02-26,13:00,68.15,68.2,68.15,68.2,332,3
"DE0005785604","FRE","FRESENIUS SE+CO.KGAA O.N.",Common stock,"EUR",2504973,2018-02-26,13:00,64.22,64.26,64.22,64.26,784,3
"DE0005785802","FME","FRESEN.MED.CARE KGAA O.N.",Common stock,"EUR",2504974,2018-02-26,13:00,88.3,88.3,88.28,88.3,534,5
"DE0005790430","FPE3","FUCHS PETROL.SE VZO O.N.",Common stock,"EUR",2504976,2018-02-26,13:00,47.04,47.04,47.04,47.04,33,2
"DE0005810055","DB1","DEUTSCHE BOERSE NA O.N.",Common stock,"EUR",2504978,2018-02-26,13:00,108.5,108.55,108.5,108.55,209,3
"DE0005895403","GMM","GRAMMER AG O.N.",Common stock,"EUR",2504985,2018-02-26,13:00,50,50,50,50,11,1
"DE0006047004","HEI","HEIDELBERGCEMENT AG O.N.",Common stock,"EUR",2505002,2018-02-26,13:00,82.66,82.66,82.64,82.64,260,3
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO",Common stock,"EUR",2505004,2018-02-26,13:00,112.45,112.45,112.45,112.45,418,3
"DE0006062144","1COV","COVESTRO AG  O.N.",Common stock,"EUR",2505008,2018-02-26,13:00,93.64,93.64,93.58,93.58,1370,10
"DE0006070006","HOT","HOCHTIEF AG",Common stock,"EUR",2505009,2018-02-26,13:00,138.9,138.9,138.9,138.9,226,1
"DE0006200108","INH","INDUS HOLDING AG",Common stock,"EUR",2505014,2018-02-26,13:00,61,61,60.8,60.8,160,2
"DE0006202005","SZG","SALZGITTER AG O.N.",Common stock,"EUR",2505016,2018-02-26,13:00,47.61,47.61,47.6,47.6,325,5
"DE0006229107","JEN","JENOPTIK AG O.N.",Common stock,"EUR",2505023,2018-02-26,13:00,28.08,28.08,28.08,28.08,25,1
"DE0006231004","IFX","INFINEON TECH.AG NA O.N.",Common stock,"EUR",2505024,2018-02-26,13:00,22.23,22.23,22.23,22.23,4390,4
"DE0006452907","NEM","NEMETSCHEK SE O.N.",Common stock,"EUR",2505040,2018-02-26,13:00,82.9,82.9,82.6,82.6,462,7
"DE0006459324","LUS","LANG+SCHWARZ AG NA",Common stock,"EUR",2505041,2018-02-26,13:00,32.6,32.7,32.6,32.6,157,2
"DE0006599905","MRK","MERCK KGAA O.N.",Common stock,"EUR",2505050,2018-02-26,13:00,83.1,83.1,83.1,83.1,251,3
"DE0006636681","VQT","VA-Q-TEC AG NA O.N.",Common stock,"EUR",2505056,2018-02-26,13:00,17.15,17.15,17.15,17.15,40,1
"DE0007010803","RAA","RATIONAL AG",Common stock,"EUR",2505070,2018-02-26,13:00,542,542,540.5,541,49,6
"DE0007037129","RWE","RWE AG ST O.N.",Common stock,"EUR",2505072,2018-02-26,13:00,16.41,16.41,16.41,16.41,389,2
"DE0007100000","DAI","DAIMLER AG NA O.N.",Common stock,"EUR",2505076,2018-02-26,13:00,70.15,70.17,70.13,70.15,5386,23
"DE0007164600","SAP","SAP SE O.N.",Common stock,"EUR",2505077,2018-02-26,13:00,84.78,84.79,84.78,84.78,691,6
"DE0007165631","SRT3","SARTORIUS AG VZO O.N.",Common stock,"EUR",2505079,2018-02-26,13:00,110.4,110.4,110.4,110.4,109,1
"DE0007236101","SIE","SIEMENS AG NA",Common stock,"EUR",2505088,2018-02-26,13:00,110.92,110.98,110.92,110.94,1178,6
"DE0007297004","SZU","SUEDZUCKER AG  O.N.",Common stock,"EUR",2505095,2018-02-26,13:00,15.145,15.145,15.145,15.145,316,1
"DE0007472060","WDI","WIRECARD AG",Common stock,"EUR",2505101,2018-02-26,13:00,99.82,99.82,99.82,99.82,554,2
"DE0007493991","SAX","STROEER SE + CO. KGAA",Common stock,"EUR",2505103,2018-02-26,13:00,59.85,60,59.85,60,2003,9
"DE0007500001","TKA","THYSSENKRUPP AG O.N.",Common stock,"EUR",2505105,2018-02-26,13:00,22.5,22.51,22.48,22.48,35919,20
"DE0007664005","VOW","VOLKSWAGEN AG ST O.N.",Common stock,"EUR",2505113,2018-02-26,13:00,170.1,170.1,170.1,170.1,230,4
"DE0007664039","VOW3","VOLKSWAGEN AG VZO O.N.",Common stock,"EUR",2505114,2018-02-26,13:00,167.28,167.32,167.12,167.32,6924,39
"DE0007846867","V6C","VISCOM AG O.N.",Common stock,"EUR",2505123,2018-02-26,13:00,31.8,31.8,31.8,31.8,98,2
"DE0008402215","HNR1","HANNOVER RUECK SE NA O.N.",Common stock,"EUR",2505132,2018-02-26,13:00,112.9,113,112.9,113,1723,6
"DE0008404005","ALV","ALLIANZ SE NA O.N.",Common stock,"EUR",2505133,2018-02-26,13:00,192.74,192.74,192.68,192.72,1107,8
"DE0008430026","MUV2","MUENCH.RUECKVERS.VNA O.N.",Common stock,"EUR",2505134,2018-02-26,13:00,184.25,184.3,184.25,184.3,355,6
"ES0178430E18","TNE5","TELEFONICA INH.      EO 1",Common stock,"EUR",2505155,2018-02-26,13:00,8.029,8.03,8.029,8.03,352,2
"FR0010345371","LYYP","LYX.ST.EU.600 BANK.UETFA",ETF,"EUR",2505228,2018-02-26,13:00,22.81,22.81,22.81,22.81,8800,2
"FR0010892216","6AQQ","AMUNDI ETF NASDAQ-100",ETF,"EUR",2505306,2018-02-26,13:00,61.61,61.61,61.61,61.61,170,1
"FR0010959676","AMEM","AMUNDI ETF MSCI EMER.MKTS",ETF,"EUR",2505311,2018-02-26,13:00,4.3058,4.3058,4.3058,4.3058,800,1
"GB00B03MLX29","R6C","ROYAL DUTCH SHELL A EO-07",Common stock,"EUR",2505360,2018-02-26,13:00,25.945,25.945,25.945,25.945,19,1
"GB00B24CGK77","3RB","RECKITT BENCK.GRP LS -;10",Common stock,"EUR",2505366,2018-02-26,13:00,69.63,69.63,69.63,69.63,116,1
"GB0000566504","BIL","BHP BILLITON       DL-;50",Common stock,"EUR",2505369,2018-02-26,13:00,17.58,17.58,17.58,17.58,1000,1
"IE00BCRY6227","IS3L","ISHSIV-DL ULTRASH.BD DL D",ETF,"EUR",2505396,2018-02-26,13:00,81.286,81.286,81.286,81.286,100,1
"IE00B6R52036","IS0E","ISV-GOLD.PROD.U.ETF DLA",ETF,"EUR",2505739,2018-02-26,13:00,7.524,7.524,7.524,7.524,13000,1
"LU0061462528","RRTL","RTL GROUP",Common stock,"EUR",2505811,2018-02-26,13:00,71.25,71.25,71.25,71.25,248,1
"LU0292108619","DBX3","XTR.MSCI EM LAT.AM.SW. 1C",ETF,"EUR",2505861,2018-02-26,13:00,42.835,42.835,42.835,42.835,271,1
"LU0392494562","X010","COMS.-MSCI WORL.T.U.ETF I",ETF,"EUR",2505917,2018-02-26,13:00,48.98,48.98,48.98,48.98,110,1
"LU0846194776","XD5E","XTR.MSCI EMU 1D",ETF,"EUR",2506064,2018-02-26,13:00,40.585,40.585,40.585,40.585,634,1
"LU1066226637","STM","STABILUS S.A. INH. EO-;01",Common stock,"EUR",2506096,2018-02-26,13:00,79.45,79.45,79.45,79.45,128,3
"LU1250154413","ADJ","ADO PROPERTIES S.A. NPV",Common stock,"EUR",2506119,2018-02-26,13:00,43.48,43.48,43.48,43.48,12,1
"NL0000009355","UNI3","UNILEVER CVA    EO -;16",Common stock,"EUR",2506255,2018-02-26,13:00,44.28,44.28,44.28,44.28,90,1
"NL0000009538","PHI1","KONINKL. PHILIPS EO -;20",Common stock,"EUR",2506256,2018-02-26,13:00,31.86,31.86,31.86,31.86,100,1
"NL0000235190","AIR","AIRBUS",Common stock,"EUR",2506257,2018-02-26,13:00,99.4,99.4,99.4,99.4,21,1
"NL0011375019","SNH","STEINHOFF INT.HLDG.EO-;50",Common stock,"EUR",2506267,2018-02-26,13:00,0.4022,0.4026,0.4022,0.4026,14631,6
"US01609W1027","AHLA","ALIBABA GR.HLDG SP.ADR 1",Common stock,"EUR",2506421,2018-02-26,13:00,158.14,158.15,158.14,158.14,128,3
"US02079K1079","ABEC","ALPHABET INC.CL C DL-;001",Common stock,"EUR",2506423,2018-02-26,13:00,919,919,919,919,6,3
"US0231351067","AMZ","AMAZON.COM INC.    DL-;01",Common stock,"EUR",2506427,2018-02-26,13:00,1227,1227,1227,1227,9,2
"US0846707026","BRYN","BERKSH. H.B NEW DL-;00333",Common stock,"EUR",2506447,2018-02-26,13:00,167.3,167.3,167.3,167.3,25,1
"US3994731079","G5N","GROUPON INC. DL-;0001",Common stock,"EUR",2506497,2018-02-26,13:00,3.57,3.57,3.57,3.57,68,2
"US4581401001","INL","INTEL CORP.       DL-;001",Common stock,"EUR",2506509,2018-02-26,13:00,39.07,39.08,39.07,39.08,37,2
"US57636Q1040","M4I","MASTERCARD INC.A DL-;0001",Common stock,"EUR",2506524,2018-02-26,13:00,142.76,142.76,142.76,142.76,38,1
"US5951121038","MTE","MICRON TECHN. INC. DL-;10",Common stock,"EUR",2506531,2018-02-26,13:00,38.29,38.29,38.29,38.29,14,1
"US6541061031","NKE","NIKE INC. B",Common stock,"EUR",2506538,2018-02-26,13:00,55.53,55.53,55.53,55.53,44,1
"US88160R1014","TL0","TESLA INC. DL -;001",Common stock,"EUR",2506575,2018-02-26,13:00,286.49,286.49,286.49,286.49,1,1
"DE000BFB0019","B4B","METRO AG   ST O.N.",Common stock,"EUR",2532386,2018-02-26,13:00,15.925,15.925,15.925,15.925,228,1
"DE000A2E4L75","LINU","LINDE AG O.N. Z.UMT.",Common stock,"EUR",2600157,2018-02-26,13:00,187.6,187.7,187.6,187.7,146,2
"DE000A0TGJ55","VAR1","VARTA AG O.N.",Common stock,"EUR",2721826,2018-02-26,13:00,20.2,20.2,20.2,20.2,120,1
"DE000A0X8994","DEL2","ETFS DAX DLY 2X LG GO DZ",ETF,"EUR",2504256,2018-02-26,13:01,306,306,306,306,1232,4
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF",ETF,"EUR",2504265,2018-02-26,13:01,108.52,108.52,108.5,108.5,331,2
"LU0411075376","DBPE","XTR.LEVDAX DA.SWAP 1C",ETF,"EUR",2504273,2018-02-26,13:01,117.56,117.56,117.56,117.56,100,1
"DE000A0F5UJ7","EXV1","IS.S.EU.600 BANK.U.ETF A.",ETF,"EUR",2504306,2018-02-26,13:01,18.472,18.472,18.472,18.472,682,2
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-26,13:01,34.53,34.53,34.53,34.53,41,1
"DE000A0H08M3","EXH1","IS.S.E.600 OIL+G.U.ETF A.",ETF,"EUR",2504330,2018-02-26,13:01,30.875,30.875,30.875,30.875,352,1
