ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"LU1254453902","OSX7","OSSIAM JA.MVNR UETFHI1CEO",ETF,"EUR",2506121,2018-02-27,20:30,130.18,130.18,130.18,130.18,0,1
"US38141G1040","GOS","GOLDMAN SACHS GRP INC.",Common stock,"EUR",2506496,2018-02-27,20:30,222.29,222.29,222.29,222.29,0,1
"US5398301094","LOM","LOCKHEED MARTIN    DL 1",Common stock,"EUR",2506523,2018-02-27,20:30,293.21,293.21,293.21,293.21,0,1
"US5801351017","MDO","MCDONALDS CORP.   DL-;01",Common stock,"EUR",2506527,2018-02-27,20:30,131.41,131.41,131.41,131.41,0,1
