ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"BE0974293251","1NBA","ANHEUSER-BUSCH INBEV",Common stock,"EUR",2504195,2018-02-23,12:00,85.39,85.39,85.39,85.39,100,1
"CA3809564097","GO5","GOLDCORP INC.",Common stock,"EUR",2504198,2018-02-23,12:00,10.4,10.4,10.4,10.4,140,2
"DE000A0DPRE6","LNSX","SIXT LEASING O.N.",Common stock,"EUR",2504289,2018-02-23,12:00,18.34,18.34,18.34,18.34,120,1
"DE000A0F5UJ7","EXV1","IS.S.EU.600 BANK.U.ETF A.",ETF,"EUR",2504306,2018-02-23,12:00,18.43,18.43,18.43,18.43,200,1
"DE000A0HGQF5","MF6","MAGFORCE AG",Common stock,"EUR",2504308,2018-02-23,12:00,7.11,7.11,7.01,7.11,10000,7
"DE000A0H08F7","EXV8","ISH.S.EU.600 C+M U.ETF A.",ETF,"EUR",2504324,2018-02-23,12:00,44.65,44.65,44.65,44.65,1200,1
"DE000A0JBPG2","PNE3","PNE WIND AG NA O.N.",Common stock,"EUR",2504337,2018-02-23,12:00,2.89,2.89,2.885,2.885,2332,4
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.",Common stock,"EUR",2504340,2018-02-23,12:00,60.95,60.95,60.95,60.95,88,1
"DE000A0JQ5U3","M5Z","MANZ AG",Common stock,"EUR",2504345,2018-02-23,12:00,34.6,34.6,34.6,34.6,16,1
"DE000A0KEXC7","V3S","VECTRON SYSTEMS      O.N.",Common stock,"EUR",2504348,2018-02-23,12:00,24.5,24.5,24.5,24.5,1000,2
"DE000A0LAUP1","CE2","CROPENERGIES AG",Common stock,"EUR",2504376,2018-02-23,12:00,6.26,6.26,6.26,6.26,170,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG",Common stock,"EUR",2504379,2018-02-23,12:00,12.35,12.35,12.34,12.34,2332,5
"DE000A0LD6E6","GXI","GERRESHEIMER AG",Common stock,"EUR",2504380,2018-02-23,12:00,62.35,62.35,62.3,62.35,209,3
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.",Common stock,"EUR",2504401,2018-02-23,12:00,9.53,9.53,9.53,9.53,1697,2
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.",Common stock,"EUR",2504453,2018-02-23,12:00,52.14,52.14,52.14,52.14,167,4
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.",Common stock,"EUR",2504474,2018-02-23,12:00,60.65,60.75,60.65,60.75,447,7
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.",Common stock,"EUR",2504512,2018-02-23,12:00,73.78,73.78,73.78,73.78,152,4
"DE000A1TNUT7","DBAN","DT.BETEILIG.AG   NA O.N.",Common stock,"EUR",2504519,2018-02-23,12:00,44.35,44.4,44.35,44.4,515,2
"DE000A11QW50","ECX","EPIGENOMICS AG NA O.N.",Common stock,"EUR",2504547,2018-02-23,12:00,4.19,4.19,4.19,4.19,428,2
"DE000A11QW68","HRPK","7C SOLARPARKEN AG  O.N.",Common stock,"EUR",2504548,2018-02-23,12:00,2.41,2.43,2.41,2.43,4818,2
"DE000A12DM80","G24","SCOUT24 AG NA O.N.",Common stock,"EUR",2504556,2018-02-23,12:00,36.28,36.32,36.28,36.3,301,3
"DE000A12UKK6","RKET","ROCKET INTERNET SE",Common stock,"EUR",2504560,2018-02-23,12:00,24,24,24,24,250,1
"DE000A13SX22","HLE","HELLA GMBH+CO. KGAA O.N.",Common stock,"EUR",2504580,2018-02-23,12:00,56,56,56,56,315,1
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.",Common stock,"EUR",2504618,2018-02-23,12:00,31.85,31.85,31.84,31.85,1142,10
"DE000KC01000","KCO","KLOECKNER + CO SE NA O.N.",Common stock,"EUR",2504810,2018-02-23,12:00,10.44,10.44,10.44,10.44,365,1
"DE000KGX8881","KGX","KION GROUP AG",Common stock,"EUR",2504811,2018-02-23,12:00,71.24,71.24,71.24,71.24,57,1
"DE000KSAG888","SDF","K+S AG NA O.N.",Common stock,"EUR",2504812,2018-02-23,12:00,22.45,22.45,22.45,22.45,681,1
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.",Common stock,"EUR",2504814,2018-02-23,12:00,87.34,87.34,87.34,87.34,223,2
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO",Common stock,"EUR",2504816,2018-02-23,12:00,68.86,68.88,68.86,68.88,181,3
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO",Common stock,"EUR",2504849,2018-02-23,12:00,13.53,13.53,13.53,13.53,33,1
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.",Common stock,"EUR",2504852,2018-02-23,12:00,66.58,66.58,66.58,66.58,165,2
"DE000TCAG172","TC1","TELE COLUMBUS AG NA O.N.",Common stock,"EUR",2504853,2018-02-23,12:00,9.37,9.37,9.37,9.37,40,1
"DE000WCH8881","WCH","WACKER CHEMIE        O.N.",Common stock,"EUR",2504860,2018-02-23,12:00,140.15,140.15,140.15,140.15,15,1
"DE0002635307","EXSA","ISH.STOX.EUROPE 600 U.ETF",ETF,"EUR",2504871,2018-02-23,12:00,37.39,37.39,37.39,37.39,660,1
"DE0005232805","BDT","BERTRANDT AG O.N.",Common stock,"EUR",2504918,2018-02-23,12:00,98.6,98.6,98.6,98.6,25,1
"DE0005408884","LEO","LEONI AG NA O.N.",Common stock,"EUR",2504929,2018-02-23,12:00,56.7,56.7,56.7,56.7,5,1
"DE0005470405","LXS","LANXESS AG",Common stock,"EUR",2504935,2018-02-23,12:00,68.44,68.44,68.44,68.44,114,1
"DE0005545503","DRI","1+1 DRILLISCH AG O.N.",Common stock,"EUR",2504950,2018-02-23,12:00,65.15,65.15,65.15,65.15,68,1
"DE0005565204","DUE","DUERR AG O.N.",Common stock,"EUR",2504956,2018-02-23,12:00,104.55,104.55,104.55,104.55,61,1
"DE0005773303","FRA","FRAPORT AG FFM.AIRPORT",Common stock,"EUR",2504970,2018-02-23,12:00,85.04,85.06,85.04,85.06,161,3
"DE0005790430","FPE3","FUCHS PETROL.SE VZO O.N.",Common stock,"EUR",2504976,2018-02-23,12:00,47.12,47.14,47.12,47.14,402,5
"DE0005878003","GIL","DMG MORI AG O.N.",Common stock,"EUR",2504984,2018-02-23,12:00,46.45,46.45,46.45,46.45,75,2
"DE0005909006","GBF","BILFINGER SE O.N.",Common stock,"EUR",2504986,2018-02-23,12:00,36.32,36.32,36.24,36.26,1162,10
