ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CA0679011084","ABR","BARRICK GOLD CORP.",Common stock,"EUR",2504196,2018-02-23,15:00,10,10,10,10,100,1
"LU0292106241","DXSN","XTR.SHORTDAX DAILY SW. 1C",ETF,"EUR",2504270,2018-02-23,15:00,21.325,21.325,21.325,21.325,251,2
"LU0411075020","DBPD","XTR.SHORTDAX X2 DA.SW. 1C",ETF,"EUR",2504272,2018-02-23,15:00,3.815,3.815,3.815,3.815,2622,1
"LU0411075376","DBPE","XTR.LEVDAX DA.SWAP 1C",ETF,"EUR",2504273,2018-02-23,15:00,116.58,116.58,116.58,116.58,86,1
"DE000A0CAYB2","WIN","DIEBOLD NIXDORF  INH.O.N.",Common stock,"EUR",2504286,2018-02-23,15:00,67.9,67.9,67.9,67.9,261,2
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG",Common stock,"EUR",2504287,2018-02-23,15:00,47.04,47.04,47.04,47.04,93,2
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.",Common stock,"EUR",2504297,2018-02-23,15:00,138.1,138.1,138.1,138.1,94,3
"DE000A0ETBQ4","MBB","MBB SE O.N.",Common stock,"EUR",2504301,2018-02-23,15:00,96.8,96.8,96.8,96.8,90,4
"DE000A0F5UK5","EXV6","IS.S.E.600 BA.RE.U.ETF A.",ETF,"EUR",2504307,2018-02-23,15:00,48.295,48.295,48.295,48.295,1800,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-23,15:00,34.73,34.74,34.73,34.73,1267,6
"DE000A0H08Q4","EXV3","ISH.S.EU.600 TEC.U.ETF A.",ETF,"EUR",2504333,2018-02-23,15:00,42.195,42.195,42.19,42.195,682,2
"DE000A0H08R2","EXV2","ISH.S.EU.600 TEL.U.ETF A.",ETF,"EUR",2504334,2018-02-23,15:00,23.325,23.325,23.325,23.325,630,1
