ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CH0038863350","NESR","NESTLE NAM.        SF-;10",Common stock,"EUR",2504245,2018-02-08,13:00,66.7,66.7,66.7,66.7,50,1
"DE000A0F5UE8","EXXU","IS.DJ CHINA OFFS.50 U.ETF",ETF,"EUR",2504302,2018-02-08,13:00,47.77,47.77,47.77,47.77,20,1
"DE000A0F5UH1","ISPA","IS.S.GL.SE.D.100 U.ETF A.",ETF,"EUR",2504305,2018-02-08,13:00,26.195,26.195,26.195,26.195,50,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-08,13:00,33.25,33.25,33.24,33.25,577,5
"DE000A0H08M3","EXH1","IS.S.E.600 OIL+G.U.ETF A.",ETF,"EUR",2504330,2018-02-08,13:00,30.455,30.46,30.455,30.46,479,2
"DE000A0H08R2","EXV2","ISH.S.EU.600 TEL.U.ETF A.",ETF,"EUR",2504334,2018-02-08,13:00,23,23,23,23,200,1
"DE000A0JL9W6","VBK","VERBIO VER.BIOENERGIE  ON",Common stock,"EUR",2504343,2018-02-08,13:00,6.33,6.33,6.315,6.315,47,2
"DE000A0XFWK2","SHWK","SHS VIVEON AG",Common stock,"EUR",2504431,2018-02-08,13:00,4.02,4.02,4.01,4.02,500,2
"DE000A0Z1JH9","PSAN","PSI SOFTWARE AG NA O.N.",Common stock,"EUR",2504435,2018-02-08,13:00,17.9,18,17.8,17.8,586,5
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1",Common stock,"EUR",2504436,2018-02-08,13:00,27.1,27.1,27.1,27.1,125,1
"DE000A1A6WE6","AJ91","DOCCHECK AG NA O.N.",Common stock,"EUR",2504442,2018-02-08,13:00,10.6,10.6,10.6,10.6,251,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.",Common stock,"EUR",2504453,2018-02-08,13:00,51.68,51.7,51.68,51.7,145,2
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-08,13:00,181.75,181.75,181.75,181.75,166,3
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.",Common stock,"EUR",2504474,2018-02-08,13:00,58.7,58.8,58.7,58.8,389,2
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA",Common stock,"EUR",2504492,2018-02-08,13:00,3.932,3.933,3.932,3.933,1702,5
"DE000A1K0235","SMHN","SUESS MICROTEC SE NA O.N.",Common stock,"EUR",2504495,2018-02-08,13:00,14.9,14.9,14.9,14.9,6423,19
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.",Common stock,"EUR",2504501,2018-02-08,13:00,37.16,37.16,37.16,37.16,956,1
"DE000A12DM80","G24","SCOUT24 AG NA O.N.",Common stock,"EUR",2504556,2018-02-08,13:00,35.96,35.96,35.96,35.96,230,2
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.",Common stock,"EUR",2504618,2018-02-08,13:00,30.72,30.75,30.72,30.74,4982,14
"DE000A2DAM03","AAG","AUMANN AG",Common stock,"EUR",2504639,2018-02-08,13:00,62.5,62.5,62.5,62.5,15,1
"DE000BASF111","BAS","BASF SE NA O.N.",Common stock,"EUR",2504663,2018-02-08,13:00,87.75,87.79,87.74,87.78,495,7
"DE000BAY0017","BAYN","BAYER AG NA O.N.",Common stock,"EUR",2504664,2018-02-08,13:00,98.49,98.53,98.47,98.52,3308,38
"DE000CBK1001","CBK","COMMERZBANK AG",Common stock,"EUR",2504665,2018-02-08,13:00,12.95,12.95,12.95,12.95,120,1
"DE000ENAG999","EOAN","E.ON SE NA O.N.",Common stock,"EUR",2504666,2018-02-08,13:00,8.103,8.105,8.101,8.103,18620,16
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.",Common stock,"EUR",2504806,2018-02-08,13:00,29.95,29.95,29.95,29.95,79,2
"DE000HLAG475","HLAG","HAPAG-LLOYD AG NA O.N.",Common stock,"EUR",2504809,2018-02-08,13:00,32.06,32.06,32.06,32.06,187,2
"DE000KGX8881","KGX","KION GROUP AG",Common stock,"EUR",2504811,2018-02-08,13:00,70.96,71.06,70.96,71.06,614,7
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.",Common stock,"EUR",2504813,2018-02-08,13:00,68.96,68.98,68.96,68.98,304,4
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.",Common stock,"EUR",2504814,2018-02-08,13:00,85.98,86.02,85.96,86,216,4
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO",Common stock,"EUR",2504816,2018-02-08,13:00,71.46,71.46,71.46,71.46,703,12
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.",Common stock,"EUR",2504848,2018-02-08,13:00,29.63,29.63,29.63,29.63,830,3
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO",Common stock,"EUR",2504849,2018-02-08,13:00,13.51,13.51,13.505,13.505,889,3
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.",Common stock,"EUR",2504852,2018-02-08,13:00,64.88,64.9,64.88,64.9,245,3
"DE000UNSE018","UN01","UNIPER SE  NA O.N.",Common stock,"EUR",2504856,2018-02-08,13:00,23.04,23.04,23.04,23.04,20,1
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.",Common stock,"EUR",2504859,2018-02-08,13:00,120.95,120.95,120.95,120.95,191,3
"DE000WCH8881","WCH","WACKER CHEMIE        O.N.",Common stock,"EUR",2504860,2018-02-08,13:00,141.45,141.75,141.45,141.75,884,12
"DE000ZAL1111","ZAL","ZALANDO SE",Common stock,"EUR",2504863,2018-02-08,13:00,44.96,44.97,44.96,44.97,328,2
"DE0005089031","UTDI","UTD.INTERNET AG NA",Common stock,"EUR",2504878,2018-02-08,13:00,54.4,54.42,54.4,54.4,300,2
"DE0005102008","BSL","BASLER AG O.N.",Common stock,"EUR",2504880,2018-02-08,13:00,199.2,199.2,199.2,199.2,1,1
"DE0005118806","TGT","11 88 0 SOLUTIONS AG",Common stock,"EUR",2504886,2018-02-08,13:00,1.005,1.005,1.005,1.005,2000,1
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.",Common stock,"EUR",2504888,2018-02-08,13:00,13.236,13.246,13.228,13.24,70983,62
"DE0005158703","BC8","BECHTLE AG O.N.",Common stock,"EUR",2504894,2018-02-08,13:00,69.55,69.55,69.55,69.55,107,1
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST",Common stock,"EUR",2504900,2018-02-08,13:00,88.45,88.46,88.44,88.46,255,4
"DE0005194062","BYW6","BAYWA AG VINK.NA. O.N.",Common stock,"EUR",2504903,2018-02-08,13:00,30.1,30.1,30.1,30.1,17,1
