ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.",Common stock,"EUR",2504159,2018-02-12,10:00,20.14,20.14,20.12,20.12,437,3
"AT0000969985","AUS","AT+S AUSTR.T.+SYSTEMT.",Common stock,"EUR",2504191,2018-02-12,10:00,23.2,23.35,23.2,23.2,200,3
"CH0012032048","RHO5","ROCHE HLDG AG GEN.",Other,"EUR",2504218,2018-02-12,10:00,191.16,191.16,191.06,191.06,25,2
"CH0013841017","LO3","LONZA GROUP AG NA    SF 1",Common stock,"EUR",2504231,2018-02-12,10:00,201,201,200.9,201,100,2
"CH0038863350","NESR","NESTLE NAM.        SF-;10",Common stock,"EUR",2504245,2018-02-12,10:00,66.78,66.78,66.78,66.78,300,1
"LU0411075020","DBPD","DB X-TR.SHORTDAX X2 DA.1C",ETF,"EUR",2504272,2018-02-12,10:00,3.8935,3.8935,3.8935,3.8935,2000,1
"DE000A0B65S3","PA8","PAION O.N",Common stock,"EUR",2504283,2018-02-12,10:00,2.43,2.5,2.43,2.43,680,2
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG",Common stock,"EUR",2504287,2018-02-12,10:00,43.86,43.86,43.74,43.74,474,7
"DE000A0DNAY5","ACX","BET-AT-HOME.COM AG O.N.",Common stock,"EUR",2504288,2018-02-12,10:00,95.25,95.35,95.25,95.35,218,2
"DE000A0D6554","NDX1","NORDEX SE O.N.",Common stock,"EUR",2504290,2018-02-12,10:00,10.145,10.145,10.145,10.145,300,1
"DE000A0HGQF5","MF6","MAGFORCE AG",Common stock,"EUR",2504308,2018-02-12,10:00,7.18,7.18,7.18,7.18,549,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-12,10:00,33.21,33.23,33.21,33.22,986,9
"DE000A0JBPG2","PNE3","PNE WIND AG NA O.N.",Common stock,"EUR",2504337,2018-02-12,10:00,2.82,2.825,2.82,2.825,1801,3
"DE000A0JC8S7","D6H","DATAGROUP SE  INH. O.N.",Common stock,"EUR",2504338,2018-02-12,10:00,43.2,43.2,43.2,43.2,100,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG",Common stock,"EUR",2504379,2018-02-12,10:00,12.4,12.4,12.4,12.4,525,3
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.",Common stock,"EUR",2504401,2018-02-12,10:00,9.88,9.885,9.88,9.885,1171,4
"DE000A0S8488","HHFA","HAMBURG.HAFEN LOG.A-SP NA",Common stock,"EUR",2504409,2018-02-12,10:00,19.84,19.84,19.84,19.84,82,2
"DE000A0Z1JH9","PSAN","PSI SOFTWARE AG NA O.N.",Common stock,"EUR",2504435,2018-02-12,10:00,17.9,17.9,17.9,17.9,121,1
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-12,10:00,180.25,180.25,180.25,180.25,594,4
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA",Common stock,"EUR",2504492,2018-02-12,10:00,3.992,3.992,3.992,3.992,900,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.",Common stock,"EUR",2504501,2018-02-12,10:00,36.85,36.86,36.85,36.86,1107,8
