ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.",Common stock,"EUR",2504159,2018-02-12,13:00,19.84,19.86,19.83,19.84,854,4
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF",ETF,"EUR",2504265,2018-02-12,13:00,106.3,106.3,106.28,106.28,1064,2
"LU0252634307","LYY8","MUL-LYX.DLY.LEVDAX U.E. A",ETF,"EUR",2504268,2018-02-12,13:00,104.72,104.72,104.72,104.72,911,5
"LU0488317024","C002","COMST.-FR DAX UCITS ETF I",ETF,"EUR",2504274,2018-02-12,13:00,58.16,58.16,58.16,58.16,20,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.",Common stock,"EUR",2504297,2018-02-12,13:00,134.4,134.4,134.4,134.4,285,6
"DE000A0F5UK5","EXV6","IS.S.E.600 BA.RE.U.ETF A.",ETF,"EUR",2504307,2018-02-12,13:00,46.1,46.1,46.1,46.1,880,4
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-12,13:00,33.29,33.29,33.29,33.29,1285,3
"DE000A0H0728","EXXY","ISHS DIV.COMM.SWAP UC.ETF",ETF,"EUR",2504315,2018-02-12,13:00,17.686,17.686,17.686,17.686,281,1
"DE000A0JC8S7","D6H","DATAGROUP SE  INH. O.N.",Common stock,"EUR",2504338,2018-02-12,13:00,43.7,43.7,43.7,43.7,115,1
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.",Common stock,"EUR",2504340,2018-02-12,13:00,56.25,56.25,56.25,56.25,40,1
"DE000A0LR936","ST5","STEICO SE",Common stock,"EUR",2504382,2018-02-12,13:00,24.25,24.25,24.25,24.25,151,1
"DE000A0Q4R28","EXV5","ISH.S.EU.600 A+P U.ETF A.",ETF,"EUR",2504393,2018-02-12,13:00,59.16,59.16,59.16,59.16,1094,3
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.",Common stock,"EUR",2504401,2018-02-12,13:00,9.68,9.68,9.68,9.68,1444,1
"DE000A0S8488","HHFA","HAMBURG.HAFEN LOG.A-SP NA",Common stock,"EUR",2504409,2018-02-12,13:00,19.79,19.8,19.79,19.8,454,4
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.",Common stock,"EUR",2504428,2018-02-12,13:00,11.07,11.07,11.06,11.06,1796,3
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.",Common stock,"EUR",2504438,2018-02-12,13:00,28.99,29.03,28.99,29.03,1455,8
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.",Common stock,"EUR",2504453,2018-02-12,13:00,51.06,51.06,51.06,51.06,193,1
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-12,13:00,179.5,179.5,179.4,179.4,1063,8
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.",Common stock,"EUR",2504474,2018-02-12,13:00,56.7,56.7,56.7,56.7,110,1
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA",Common stock,"EUR",2504492,2018-02-12,13:00,3.967,3.967,3.965,3.966,5292,10
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.",Common stock,"EUR",2504501,2018-02-12,13:00,36.69,36.7,36.69,36.7,4046,12
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.",Common stock,"EUR",2504512,2018-02-12,13:00,73.26,73.3,73.26,73.3,67,3
"DE000A13SX22","HLE","HELLA GMBH+CO. KGAA O.N.",Common stock,"EUR",2504580,2018-02-12,13:00,53.75,53.75,53.75,53.75,75,1
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.",Common stock,"EUR",2504618,2018-02-12,13:00,31.17,31.17,31.16,31.16,419,2
"DE000BASF111","BAS","BASF SE NA O.N.",Common stock,"EUR",2504663,2018-02-12,13:00,86.03,86.05,85.95,85.95,3199,11
"DE000BAY0017","BAYN","BAYER AG NA O.N.",Common stock,"EUR",2504664,2018-02-12,13:00,97.37,97.38,97.32,97.32,2517,23
"DE000CBK1001","CBK","COMMERZBANK AG",Common stock,"EUR",2504665,2018-02-12,13:00,12.138,12.142,12.13,12.13,12154,20
"DE000ENAG999","EOAN","E.ON SE NA O.N.",Common stock,"EUR",2504666,2018-02-12,13:00,8.041,8.042,8.036,8.037,10874,17
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.",Common stock,"EUR",2504806,2018-02-12,13:00,29.86,29.86,29.86,29.86,285,2
"DE000KC01000","KCO","KLOECKNER + CO SE NA O.N.",Common stock,"EUR",2504810,2018-02-12,13:00,9.9,9.9,9.895,9.9,1505,7
"DE000KGX8881","KGX","KION GROUP AG",Common stock,"EUR",2504811,2018-02-12,13:00,69.4,69.4,69.38,69.38,338,3
"DE000KSAG888","SDF","K+S AG NA O.N.",Common stock,"EUR",2504812,2018-02-12,13:00,20.84,20.84,20.84,20.84,840,1
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.",Common stock,"EUR",2504813,2018-02-12,13:00,67.1,67.18,67.1,67.14,1559,16
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.",Common stock,"EUR",2504814,2018-02-12,13:00,84.56,84.56,84.52,84.52,364,7
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO",Common stock,"EUR",2504816,2018-02-12,13:00,70.08,70.08,70.02,70.02,55,4
"DE000PAT1AG3","P1Z","PATRIZIA IMMOBILIEN NA ON",Common stock,"EUR",2504817,2018-02-12,13:00,18.77,18.77,18.76,18.76,309,3
