ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"GB0007188757","RIO1","RIO TINTO PLC      LS-;10",Common stock,"EUR",2505378,2018-02-28,20:30,43.535,43.535,43.535,43.535,0,1
"GB0031348658","BCY","BARCLAYS PLC      LS 0;25",Common stock,"EUR",2505386,2018-02-28,20:30,2.367,2.367,2.367,2.367,0,1
"US0605051046","NCB","BANK AMERICA      DL 0;01",Common stock,"EUR",2506443,2018-02-28,20:30,26.51,26.51,26.51,26.51,0,1
"US7134481081","PEP","PEPSICO INC.     DL-;0166",Common stock,"EUR",2506552,2018-02-28,20:30,89.87,89.87,89.87,89.87,0,1
