ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.",Common stock,"EUR",2504159,2018-02-20,08:00,21.04,21.04,21.04,21.04,427,3
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG",Common stock,"EUR",2504287,2018-02-20,08:00,47,47,47,47,224,4
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.",Common stock,"EUR",2504428,2018-02-20,08:00,12.45,12.45,12.31,12.325,40837,38
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1",Common stock,"EUR",2504436,2018-02-20,08:00,25.68,25.68,25.68,25.68,66,1
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.",Common stock,"EUR",2504438,2018-02-20,08:00,29.1,29.11,29.1,29.11,663,3
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-20,08:00,180.65,181,180.65,181,876,15
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA",Common stock,"EUR",2504492,2018-02-20,08:00,4.011,4.011,4.011,4.011,106,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.",Common stock,"EUR",2504501,2018-02-20,08:00,37.06,37.14,37.06,37.12,975,7
"DE000A1X3W00","MDG1","MEDIGENE AG NA O.N.",Common stock,"EUR",2504531,2018-02-20,08:00,17.56,17.74,17.56,17.74,5536,12
"DE000BASF111","BAS","BASF SE NA O.N.",Common stock,"EUR",2504663,2018-02-20,08:00,86.59,86.63,86.53,86.56,2922,19
"DE000BAY0017","BAYN","BAYER AG NA O.N.",Common stock,"EUR",2504664,2018-02-20,08:00,97.8,98.09,97.8,98.06,4268,19
"DE000CBK1001","CBK","COMMERZBANK AG",Common stock,"EUR",2504665,2018-02-20,08:00,12.91,12.93,12.906,12.918,29822,25
"DE000ENAG999","EOAN","E.ON SE NA O.N.",Common stock,"EUR",2504666,2018-02-20,08:00,8.13,8.152,8.13,8.152,6782,11
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.",Common stock,"EUR",2504848,2018-02-20,08:00,31.59,31.61,31.5,31.59,19566,50
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.",Common stock,"EUR",2504859,2018-02-20,08:00,119.1,119.1,118.7,118.85,311,6
"DE0005089031","UTDI","UTD.INTERNET AG NA",Common stock,"EUR",2504878,2018-02-20,08:00,55.88,55.88,55.64,55.68,1848,12
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.",Common stock,"EUR",2504888,2018-02-20,08:00,13.234,13.268,13.234,13.266,5562,13
"DE0005158703","BC8","BECHTLE AG O.N.",Common stock,"EUR",2504894,2018-02-20,08:00,71.35,71.65,71.35,71.65,202,9
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST",Common stock,"EUR",2504900,2018-02-20,08:00,87.37,87.49,87.28,87.45,1989,17
"DE0005200000","BEI","BEIERSDORF AG O.N.",Common stock,"EUR",2504906,2018-02-20,08:00,91.92,92.18,91.88,92.16,422,12
"DE0005313704","AFX","CARL ZEISS MEDITEC AG",Common stock,"EUR",2504922,2018-02-20,08:00,49.92,50.1,49.92,50.1,107,2
"DE0005419105","COK","CANCOM SE O.N.",Common stock,"EUR",2504930,2018-02-20,08:00,79.35,79.5,79.25,79.25,254,3
"DE0005439004","CON","CONTINENTAL AG O.N.",Common stock,"EUR",2504933,2018-02-20,08:00,228.6,229.1,228.6,229.1,325,7
"DE0005545503","DRI","1+1 DRILLISCH AG O.N.",Common stock,"EUR",2504950,2018-02-20,08:00,64.25,64.35,64.25,64.35,62,2
"DE0005550636","DRW3","DRAEGERWERK VZO O.N.",Common stock,"EUR",2504952,2018-02-20,08:00,82.85,82.85,82.85,82.85,50,2
"DE0005552004","DPW","DEUTSCHE POST AG NA O.N.",Common stock,"EUR",2504953,2018-02-20,08:00,37.19,37.24,37.16,37.18,7651,28
"DE0005557508","DTE","DT.TELEKOM AG NA",Common stock,"EUR",2504954,2018-02-20,08:00,13.23,13.24,13.21,13.23,62087,26
"DE0005664809","EVT","EVOTEC AG O.N.",Common stock,"EUR",2504963,2018-02-20,08:00,14.47,14.545,14.47,14.545,875,3
"DE0005785604","FRE","FRESENIUS SE+CO.KGAA O.N.",Common stock,"EUR",2504973,2018-02-20,08:00,63.38,63.48,63.34,63.48,1328,12
"DE0005785802","FME","FRESEN.MED.CARE KGAA O.N.",Common stock,"EUR",2504974,2018-02-20,08:00,86.64,86.8,86.62,86.8,724,9
"DE0005800601","GFT","GFT TECHNOLOGIES SE",Common stock,"EUR",2504977,2018-02-20,08:00,11.31,11.31,11.31,11.31,8,1
"DE0005810055","DB1","DEUTSCHE BOERSE NA O.N.",Common stock,"EUR",2504978,2018-02-20,08:00,106,106,106,106,110,1
"DE0006047004","HEI","HEIDELBERGCEMENT AG O.N.",Common stock,"EUR",2505002,2018-02-20,08:00,83.56,83.7,83.3,83.52,11971,80
"DE0006048408","HEN","HENKEL AG+CO.KGAA ST O.N.",Common stock,"EUR",2505003,2018-02-20,08:00,97.55,97.75,97.45,97.75,703,12
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO",Common stock,"EUR",2505004,2018-02-20,08:00,107.15,107.2,107.15,107.2,893,7
"DE0006229107","JEN","JENOPTIK AG O.N.",Common stock,"EUR",2505023,2018-02-20,08:00,27.62,27.62,27.62,27.62,13,2
"DE0006231004","IFX","INFINEON TECH.AG NA O.N.",Common stock,"EUR",2505024,2018-02-20,08:00,22.05,22.05,22,22.01,15600,34
"DE0006599905","MRK","MERCK KGAA O.N.",Common stock,"EUR",2505050,2018-02-20,08:00,83.16,83.2,83.16,83.16,4555,33
"DE0006632003","MOR","MORPHOSYS AG O.N.",Common stock,"EUR",2505055,2018-02-20,08:00,76,76,76,76,2,1
"DE0006916604","PFV","PFEIFFER VACUUM TECH.O.N.",Common stock,"EUR",2505061,2018-02-20,08:00,153.2,153.4,153.2,153.4,71,3
"DE0007037129","RWE","RWE AG ST O.N.",Common stock,"EUR",2505072,2018-02-20,08:00,16.135,16.195,16.1,16.125,217365,151
"DE0007037145","RWE3","RWE AG VZO O.N.",Common stock,"EUR",2505073,2018-02-20,08:00,14.74,14.74,14.72,14.72,1378,5
"DE0007100000","DAI","DAIMLER AG NA O.N.",Common stock,"EUR",2505076,2018-02-20,08:00,70.36,70.5,70.27,70.5,21274,96
"DE0007164600","SAP","SAP SE O.N.",Common stock,"EUR",2505077,2018-02-20,08:00,84.18,84.18,84.17,84.17,1182,6
"DE0007165631","SRT3","SARTORIUS AG VZO O.N.",Common stock,"EUR",2505079,2018-02-20,08:00,102.2,102.6,102.2,102.3,45,3
"DE0007236101","SIE","SIEMENS AG NA",Common stock,"EUR",2505088,2018-02-20,08:00,111.1,111.28,111.02,111.28,5376,27
"DE0007472060","WDI","WIRECARD AG",Common stock,"EUR",2505101,2018-02-20,08:00,97.56,98,97.42,97.7,15701,59
"DE0007500001","TKA","THYSSENKRUPP AG O.N.",Common stock,"EUR",2505105,2018-02-20,08:00,22.79,22.79,22.77,22.78,1737,6
"DE0007664005","VOW","VOLKSWAGEN AG ST O.N.",Common stock,"EUR",2505113,2018-02-20,08:00,170.3,170.3,170.3,170.3,71,2
"DE0007664039","VOW3","VOLKSWAGEN AG VZO O.N.",Common stock,"EUR",2505114,2018-02-20,08:00,166,166.12,165.9,166.06,7069,39
"DE0008232125","LHA","LUFTHANSA AG VNA O.N.",Common stock,"EUR",2505130,2018-02-20,08:00,27.02,27.07,26.98,27.07,7682,22
"DE0008404005","ALV","ALLIANZ SE NA O.N.",Common stock,"EUR",2505133,2018-02-20,08:00,191.1,191.1,190.64,190.86,1815,28
"DE0008430026","MUV2","MUENCH.RUECKVERS.VNA O.N.",Common stock,"EUR",2505134,2018-02-20,08:00,183.25,183.75,183.05,183.6,3151,30
"GB0059822006","DLG","DIALOG SEMICOND.   LS-;10",Common stock,"EUR",2505387,2018-02-20,08:00,24.2,24.22,24.19,24.22,1675,5
"NL0012169213","QIA","QIAGEN NV         EO -;01",Common stock,"EUR",2506272,2018-02-20,08:00,27.28,27.28,27.28,27.28,212,1
"DE000A2E4L75","LINU","LINDE AG O.N. Z.UMT.",Common stock,"EUR",2600157,2018-02-20,08:00,182.3,182.4,182.3,182.3,187,5
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.",Common stock,"EUR",2504159,2018-02-20,08:01,21.02,21.02,21.02,21.02,364,2
"DE000A0D6554","NDX1","NORDEX SE O.N.",Common stock,"EUR",2504290,2018-02-20,08:01,9.462,9.466,9.462,9.466,591,2
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.",Common stock,"EUR",2504428,2018-02-20,08:01,12.345,12.345,12.3,12.315,12349,8
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-20,08:01,181.05,181.1,181,181.05,1041,9
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.",Common stock,"EUR",2504501,2018-02-20,08:01,37.1,37.1,37.09,37.09,355,3
"DE000A1X3W00","MDG1","MEDIGENE AG NA O.N.",Common stock,"EUR",2504531,2018-02-20,08:01,17.74,17.75,17.74,17.75,1665,4
"DE000BASF111","BAS","BASF SE NA O.N.",Common stock,"EUR",2504663,2018-02-20,08:01,86.57,86.6,86.48,86.59,1747,29
"DE000BAY0017","BAYN","BAYER AG NA O.N.",Common stock,"EUR",2504664,2018-02-20,08:01,98.03,98.04,97.95,97.99,1926,15
"DE000CBK1001","CBK","COMMERZBANK AG",Common stock,"EUR",2504665,2018-02-20,08:01,12.938,12.938,12.906,12.906,7772,9
"DE000ENAG999","EOAN","E.ON SE NA O.N.",Common stock,"EUR",2504666,2018-02-20,08:01,8.151,8.151,8.132,8.139,25269,29
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.",Common stock,"EUR",2504848,2018-02-20,08:01,31.6,31.76,31.58,31.72,43392,104
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.",Common stock,"EUR",2504859,2018-02-20,08:01,118.8,119,118.8,119,140,2
"DE0005089031","UTDI","UTD.INTERNET AG NA",Common stock,"EUR",2504878,2018-02-20,08:01,55.76,55.88,55.76,55.88,637,4
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.",Common stock,"EUR",2504888,2018-02-20,08:01,13.27,13.276,13.238,13.254,22735,43
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST",Common stock,"EUR",2504900,2018-02-20,08:01,87.46,87.49,87.44,87.44,261,4
