ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CA0679011084","ABR","BARRICK GOLD CORP.",Common stock,"EUR",2504196,2018-02-21,12:00,10.4,10.4,10.4,10.4,400,1
"CH0038863350","NESR","NESTLE NAM.        SF-;10",Common stock,"EUR",2504245,2018-02-21,12:00,64.82,64.82,64.82,64.82,600,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF",ETF,"EUR",2504265,2018-02-21,12:00,107.42,107.42,107.42,107.42,100,1
"DE000A0CAYB2","WIN","DIEBOLD NIXDORF  INH.O.N.",Common stock,"EUR",2504286,2018-02-21,12:00,68,68.1,68,68.1,209,3
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.",Common stock,"EUR",2504297,2018-02-21,12:00,136.9,136.9,136.9,136.9,68,2
"DE000A0ETBQ4","MBB","MBB SE O.N.",Common stock,"EUR",2504301,2018-02-21,12:00,94.3,94.3,94.2,94.2,34,2
"DE000A0H08Q4","EXV3","ISH.S.EU.600 TEC.U.ETF A.",ETF,"EUR",2504333,2018-02-21,12:00,42.25,42.25,42.25,42.25,831,1
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.",Common stock,"EUR",2504340,2018-02-21,12:00,58.6,58.65,58.6,58.65,390,3
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG",Common stock,"EUR",2504379,2018-02-21,12:00,12.27,12.27,12.27,12.27,95,1
"DE000A0Q4R44","EXI5","IS.S.E.600 R.EST.U.ETF A.",ETF,"EUR",2504395,2018-02-21,12:00,16.932,16.932,16.932,16.932,2151,1
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.",Common stock,"EUR",2504401,2018-02-21,12:00,9.52,9.52,9.52,9.52,238,3
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA",Common stock,"EUR",2504492,2018-02-21,12:00,3.954,3.954,3.954,3.954,1393,2
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.",Common stock,"EUR",2504512,2018-02-21,12:00,72,72,72,72,326,4
"DE000A1TNV91","ADE","BITCOIN GROUP SE  O.N.",Common stock,"EUR",2504520,2018-02-21,12:00,56.2,56.3,56,56.3,260,5
"DE000A12B8Z4","TLG","TLG IMMOBILIEN AG",Common stock,"EUR",2504555,2018-02-21,12:00,22.12,22.12,22.12,22.12,233,2
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.",Common stock,"EUR",2504618,2018-02-21,12:00,30.37,30.37,30.37,30.37,257,1
"DE000A2DAM03","AAG","AUMANN AG",Common stock,"EUR",2504639,2018-02-21,12:00,70,70,70,70,121,2
"DE000CBK1001","CBK","COMMERZBANK AG",Common stock,"EUR",2504665,2018-02-21,12:00,12.962,12.962,12.962,12.962,1361,2
"DE000ENAG999","EOAN","E.ON SE NA O.N.",Common stock,"EUR",2504666,2018-02-21,12:00,8.188,8.188,8.188,8.188,591,1
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.",Common stock,"EUR",2504806,2018-02-21,12:00,30.33,30.34,30.33,30.34,1025,2
"DE000KGX8881","KGX","KION GROUP AG",Common stock,"EUR",2504811,2018-02-21,12:00,71.32,71.32,71.32,71.32,15,2
"DE000KSAG888","SDF","K+S AG NA O.N.",Common stock,"EUR",2504812,2018-02-21,12:00,22.2,22.2,22.2,22.2,778,4
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.",Common stock,"EUR",2504814,2018-02-21,12:00,85.2,85.2,85.2,85.2,4,1
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO",Common stock,"EUR",2504816,2018-02-21,12:00,68.44,68.44,68.44,68.44,11,1
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.",Common stock,"EUR",2504852,2018-02-21,12:00,65.8,65.8,65.8,65.8,38,1
"DE000WCH8881","WCH","WACKER CHEMIE        O.N.",Common stock,"EUR",2504860,2018-02-21,12:00,139.65,139.65,139.5,139.5,509,10
"DE0005102008","BSL","BASLER AG O.N.",Common stock,"EUR",2504880,2018-02-21,12:00,216.5,217,216,217,105,3
