ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CA32076V1031","FMV","FIRST MAJESTIC SILVER",Common stock,"EUR",2504197,2018-02-07,12:00,4.64,4.64,4.64,4.64,323,1
"CH0012005267","NOT","NOVARTIS NAM.     SF 0;50",Common stock,"EUR",2504217,2018-02-07,12:00,68.92,68.92,68.92,68.92,119,2
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF",ETF,"EUR",2504265,2018-02-07,12:00,108.02,108.04,108.02,108.04,4102,2
"LU0252634307","LYY8","MUL-LYX.DLY.LEVDAX UC.ETF",ETF,"EUR",2504268,2018-02-07,12:00,108.36,108.36,108.36,108.36,10,1
"LU0274211480","DBXD","DB X-TRACK.DAX ETF(DR)1C",ETF,"EUR",2504269,2018-02-07,12:00,121.46,121.46,121.46,121.46,30,1
"DE000A0BL849","V3V","VITA 34 AG NA O.N.",Common stock,"EUR",2504279,2018-02-07,12:00,14.75,14.75,14.75,14.75,889,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.",Common stock,"EUR",2504297,2018-02-07,12:00,140.4,140.4,140.4,140.4,51,1
"DE000A0F5UJ7","EXV1","IS.S.EU.600 BANK.U.ETF A.",ETF,"EUR",2504306,2018-02-07,12:00,18.208,18.208,18.208,18.208,1347,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-07,12:00,33.52,33.52,33.51,33.51,1944,6
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG",Common stock,"EUR",2504379,2018-02-07,12:00,12.43,12.43,12.43,12.43,854,2
"DE000A0LD6E6","GXI","GERRESHEIMER AG",Common stock,"EUR",2504380,2018-02-07,12:00,66.15,66.15,66.15,66.15,1182,9
"DE000A0MZ4B0","DLX","DELIGNIT AG      INH.O.N.",Common stock,"EUR",2504390,2018-02-07,12:00,8.05,8.05,8.05,8.05,190,1
"DE000A1K0235","SMHN","SUESS MICROTEC SE NA O.N.",Common stock,"EUR",2504495,2018-02-07,12:00,14.68,14.68,14.68,14.68,240,2
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.",Common stock,"EUR",2504512,2018-02-07,12:00,71.44,71.44,71.42,71.42,356,4
"DE000A1X3XX4","DIC","DIC ASSET AG NA O.N.",Common stock,"EUR",2504532,2018-02-07,12:00,10.1,10.12,10.1,10.12,2154,8
"DE000A1X3YY0","BST","BASTEI LUEBBE AG  O.N.",Common stock,"EUR",2504534,2018-02-07,12:00,3.37,3.37,3.37,3.37,287,1
"DE000A12UKK6","RKET","ROCKET INTERNET SE",Common stock,"EUR",2504560,2018-02-07,12:00,22.06,22.06,22.04,22.06,112,2
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.",Common stock,"EUR",2504618,2018-02-07,12:00,29.75,29.8,29.75,29.8,1730,6
"DE000A2DAM03","AAG","AUMANN AG",Common stock,"EUR",2504639,2018-02-07,12:00,62.7,62.7,62.7,62.7,8,1
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.",Common stock,"EUR",2504806,2018-02-07,12:00,30.1,30.1,30.1,30.1,604,1
"DE000KC01000","KCO","KLOECKNER + CO SE NA O.N.",Common stock,"EUR",2504810,2018-02-07,12:00,10.29,10.29,10.29,10.29,50,1
"DE000KGX8881","KGX","KION GROUP AG",Common stock,"EUR",2504811,2018-02-07,12:00,72.06,72.06,72.02,72.02,560,14
"DE000KSAG888","SDF","K+S AG NA O.N.",Common stock,"EUR",2504812,2018-02-07,12:00,21.44,21.44,21.44,21.44,365,3
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.",Common stock,"EUR",2504813,2018-02-07,12:00,67.96,68.04,67.96,68.04,393,6
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.",Common stock,"EUR",2504814,2018-02-07,12:00,85.96,85.96,85.96,85.96,70,1
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO",Common stock,"EUR",2504816,2018-02-07,12:00,71.22,71.3,71.22,71.22,3699,14
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO",Common stock,"EUR",2504849,2018-02-07,12:00,13.675,13.675,13.665,13.665,1809,5
"DE000TLX1005","TLX","TALANX AG NA O.N.",Common stock,"EUR",2504854,2018-02-07,12:00,35.66,35.66,35.66,35.66,459,2
"DE000WACK012","WAC","WACKER NEUSON SE NA O.N.",Common stock,"EUR",2504858,2018-02-07,12:00,30.42,30.42,30.42,30.42,18,1
"DE000WCH8881","WCH","WACKER CHEMIE        O.N.",Common stock,"EUR",2504860,2018-02-07,12:00,148.15,148.15,147.9,147.9,23,3
"DE000ZAL1111","ZAL","ZALANDO SE",Common stock,"EUR",2504863,2018-02-07,12:00,44.72,44.72,44.69,44.69,908,3
"DE0005089031","UTDI","UTD.INTERNET AG NA",Common stock,"EUR",2504878,2018-02-07,12:00,55.06,55.06,55.06,55.06,187,1
"DE0005194062","BYW6","BAYWA AG VINK.NA. O.N.",Common stock,"EUR",2504903,2018-02-07,12:00,30.2,30.2,30.2,30.2,9,1
"DE0005229504","BIJ","BIJOU BRIGITTE O.N.",Common stock,"EUR",2504917,2018-02-07,12:00,49,49,49,49,13,1
"DE0005232805","BDT","BERTRANDT AG O.N.",Common stock,"EUR",2504918,2018-02-07,12:00,95.4,95.4,95.4,95.4,223,3
"DE0005408116","ARL","AAREAL BANK AG",Common stock,"EUR",2504927,2018-02-07,12:00,39.41,39.41,39.41,39.41,463,5
"DE0005408884","LEO","LEONI AG NA O.N.",Common stock,"EUR",2504929,2018-02-07,12:00,57.66,57.66,57.66,57.66,10,1
"DE0005470306","EVD","CTS EVENTIM KGAA",Common stock,"EUR",2504934,2018-02-07,12:00,40.02,40.02,39.94,39.94,564,7
"DE0005470405","LXS","LANXESS AG",Common stock,"EUR",2504935,2018-02-07,12:00,67.4,67.42,67.38,67.38,391,3
"DE0005493092","BVB","BORUSSIA DORTMUND",Common stock,"EUR",2504940,2018-02-07,12:00,5.625,5.625,5.625,5.625,500,2
"DE0005493365","HYQ","HYPOPORT AG  NA O.N.",Common stock,"EUR",2504941,2018-02-07,12:00,125.8,125.8,125.8,125.8,10,1
"DE0005501357","SPR","A.SPRINGER SE VNA",Common stock,"EUR",2504947,2018-02-07,12:00,69.35,69.35,69.35,69.35,225,2
"DE0005565204","DUE","DUERR AG O.N.",Common stock,"EUR",2504956,2018-02-07,12:00,104.4,104.4,104.4,104.4,266,2
"DE0005909006","GBF","BILFINGER SE O.N.",Common stock,"EUR",2504986,2018-02-07,12:00,34.68,34.7,34.68,34.7,479,4
"DE0005936124","OHB","OHB SE   O.N.",Common stock,"EUR",2504994,2018-02-07,12:00,44.05,44.05,44.05,44.05,2,1
"DE0005937007","MAN","MAN SE ST O.N.",Common stock,"EUR",2504995,2018-02-07,12:00,94.2,94.2,94.2,94.2,456,3
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO",Common stock,"EUR",2505004,2018-02-07,12:00,105.65,105.65,105.6,105.6,1468,5
"DE0006062144","1COV","COVESTRO AG  O.N.",Common stock,"EUR",2505008,2018-02-07,12:00,88.54,88.56,88.54,88.56,497,6
"DE0006095003","CAP","CAPITAL STAGE AG",Common stock,"EUR",2505012,2018-02-07,12:00,6.79,6.79,6.79,6.79,740,1
