ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE0007257503","CEC","CECONOMY AG  ST O.N.",Common stock,"EUR",2505090,2018-02-14,20:30,11.04,11.04,11.04,11.04,0,1
"DE0007257537","CEC1","CECONOMY AG  VZO O.N.",Common stock,"EUR",2505091,2018-02-14,20:30,10.75,10.75,10.75,10.75,0,1
"DE0008618737","BPE","BP PLC DZ/1 DL-;25",Common stock,"EUR",2505136,2018-02-14,20:30,5.3,5.3,5.3,5.3,0,1
"GB00B03MLX29","R6C","ROYAL DUTCH SHELL A EO-07",Common stock,"EUR",2505360,2018-02-14,20:30,25.48,25.48,25.48,25.48,0,1
"GB00B03MM408","R6C3","ROYAL DUTCH SHELL B EO-07",Common stock,"EUR",2505361,2018-02-14,20:30,26.075,26.075,26.075,26.075,0,1
"GB0007980591","BPE5","BP PLC             DL-;25",Common stock,"EUR",2505380,2018-02-14,20:30,5.294,5.294,5.294,5.294,0,1
"GB0009895292","ZEG","ASTRAZENECA PLC    DL-;25",Common stock,"EUR",2505384,2018-02-14,20:30,53,53,53,53,0,1
"IE00B1FZSF77","IQQ7","ISHSII-US PROP.YLD DLDIS",ETF,"EUR",2505585,2018-02-14,20:30,20.095,20.095,20.095,20.095,0,1
"IE00B1FZS244","IQQ4","ISHSII-ASIA PROP.YLD DLD",ETF,"EUR",2505586,2018-02-14,20:30,21.8,21.8,21.8,21.8,0,1
"IE00B1FZS350","IQQ6","ISHSII-DEV.MKT.PR.Y.DLDIS",ETF,"EUR",2505587,2018-02-14,20:30,19.43,19.43,19.43,19.43,0,1
"IE00B1FZS467","IQQI","ISHSII-GL INFRASTR.DLDIS",ETF,"EUR",2505588,2018-02-14,20:30,19.988,19.988,19.988,19.988,0,1
"IE00B1YZSC51","IQQY","ISHSII-MSCI EUROPE EODIS",ETF,"EUR",2505598,2018-02-14,20:30,23.255,23.255,23.255,23.255,0,1
"IE00B2NPKV68","IUS7","ISHSII-JPM DL EM BD DLDIS",ETF,"EUR",2505604,2018-02-14,20:30,88.388,88.388,88.388,88.388,0,1
"IE00B9M6RS56","IS3C","ISHSVI-JPM DL BD EOH DIS",ETF,"EUR",2505789,2018-02-14,20:30,98.072,98.072,98.072,98.072,0,1
"IE0008470928","EUN1","ISHS II-STXX EUR.50 EODIS",ETF,"EUR",2505795,2018-02-14,20:30,30.49,30.49,30.49,30.49,0,1
"NL0000009355","UNI3","UNILEVER CVA    EO -;16",Common stock,"EUR",2506255,2018-02-14,20:30,43.165,43.165,43.165,43.165,0,1
"IE0008471009","EUN2","ISHSII-EURO STOXX50 EODIS",ETF,"EUR",2506399,2018-02-14,20:30,34.15,34.15,34.15,34.15,0,1
"US1667641005","CHV","CHEVRON CORP.      DL-;75",Common stock,"EUR",2506456,2018-02-14,20:30,89.79,89.79,89.79,89.79,0,1
"US88579Y1010","MMM","3M CO.             DL-;01",Common stock,"EUR",2506577,2018-02-14,20:30,184.69,184.69,184.69,184.69,0,1
"US9047847093","UNIN","UNILEVER EO-;16 N.Y.SHS 1",Common stock,"EUR",2506583,2018-02-14,20:30,46.6,46.6,46.6,46.6,0,1
"US9130171096","UTC1","UTD TECHN.           DL 1",Common stock,"EUR",2506587,2018-02-14,20:30,99.99,99.99,99.99,99.99,0,1
"US92826C8394","3V64","VISA INC. CL. A DL -;0001",Common stock,"EUR",2506594,2018-02-14,20:30,96.09,96.09,96.09,96.09,0,1
"IE00BD8D5H32","EUHI","PFISE.-E ST HY CB ISU.EOI",ETF,"EUR",2714885,2018-02-14,20:30,9.9278,9.9278,9.9278,9.9278,0,1
